Load (N)	Extension (mm)
-30.372	-7.5408
-30.034	-7.4668
-29.667	-7.3927
-29.300	-7.3187
-28.932	-7.2446
-28.565	-7.1706
-28.198	-7.0966
-27.831	-7.0225
-27.158	-6.9485
-26.414	-6.8744
-25.670	-6.8004
-25.321	-6.7264
-24.974	-6.6523
-24.626	-6.5783
-24.279	-6.5042
-23.931	-6.4302
-23.584	-6.3561
-23.236	-6.2821
-22.888	-6.2081
-22.541	-6.1340
-22.193	-6.0600
-21.846	-5.9859
-21.498	-5.9119
-21.151	-5.8380
-20.803	-5.7640
-20.455	-5.6900
-20.108	-5.6161
-19.760	-5.5421
-19.413	-5.4681
-19.065	-5.3942
-18.718	-5.3202
-18.370	-5.2462
-18.022	-5.1723
-17.675	-5.0983
-17.327	-5.0243
-16.980	-4.9504
-16.632	-4.8764
-16.285	-4.8024
-15.937	-4.7285
-15.579	-4.6545
-15.220	-4.5805
-14.861	-4.5066
-14.501	-4.4326
-14.142	-4.3586
-13.783	-4.2847
-13.424	-4.2106
-13.064	-4.1353
-12.705	-4.0601
-12.346	-3.9852
-11.986	-3.9112
-11.627	-3.8373
-11.268	-3.7633
-10.908	-3.6893
-10.549	-3.6153
-10.190	-3.5413
-9.8305	-3.4673
-9.4712	-3.3934
-9.1119	-3.3194
-8.7526	-3.2454
-8.3933	-3.1714
-8.0340	-3.0974
-7.6747	-3.0234
-7.3154	-2.9495
-6.9561	-2.8755
-6.5968	-2.8015
-6.2375	-2.7275
-5.8782	-2.6535
-5.5039	-2.5795
-5.0573	-2.5056
-4.6107	-2.4316
-4.1641	-2.3576
-3.7175	-2.2836
-3.2709	-2.2096
-2.8944	-2.1356
-2.5762	-2.0617
-2.2580	-1.9877
-1.9398	-1.9137
-1.6215	-1.8397
-1.3033	-1.7657
-0.98509	-1.6917
-0.66687	-1.6178
-0.34865	-1.5438
-0.030434	-1.4698
0.28779	-1.3957
0.60601	-1.3215
0.92423	-1.2474
1.2424	-1.1732
1.5607	-1.0990
1.8789	-1.0248
2.2970	-0.94650
2.7414	-0.87115
3.1857	-0.79781
3.6300	-0.72448
4.0743	-0.65114
4.5186	-0.57781
4.9629	-0.50447
5.3137	-0.43114
5.5627	-0.35781
5.8117	-0.28447
6.0607	-0.21068
6.3096	-0.13666
6.5586	-0.062642
6.8076	0.011377
7.0566	0.085396
7.3055	0.15942
7.5545	0.23343
7.8035	0.30745
8.0525	0.38147
8.3014	0.45549
8.5504	0.52951
8.7994	0.60353
9.0484	0.67755
9.4021	0.75157
9.7955	0.82559
10.189	0.89961
10.582	0.97363
10.976	1.0476
11.369	1.1217
11.763	1.1957
12.156	1.2697
12.550	1.3437
12.943	1.4177
13.336	1.4918
13.730	1.5658
14.123	1.6398
14.517	1.7138
14.910	1.7878
15.304	1.8619
15.697	1.9359
16.091	2.0099
16.484	2.0839
16.877	2.1579
17.271	2.2320
17.664	2.3060
18.058	2.3800
18.451	2.4540
18.845	2.5280
19.238	2.6020
19.631	2.6761
20.042	2.7501
20.459	2.8241
20.876	2.8981
21.293	2.9721
21.710	3.0462
22.127	3.1202
22.544	3.1942
22.961	3.2682
23.327	3.3422
23.684	3.4163
24.041	3.4903
24.398	3.5643
24.755	3.6383
25.112	3.7123
25.469	3.7864
25.826	3.8604
26.183	3.9344
26.540	4.0084
26.897	4.0859
27.254	4.1618
27.611	4.2357
27.968	4.3096
28.325	4.3835
28.755	4.4575
29.225	4.5314
29.695	4.6053
30.165	4.6792
30.636	4.7531
31.111	4.8270
31.586	4.9009
32.060	4.9748
32.535	5.0487
33.010	5.1226
33.484	5.1965
33.959	5.2704
34.434	5.3443
34.909	5.4182
35.383	5.4922
35.858	5.5661
36.333	5.6401
36.807	5.7141
37.282	5.7880
37.757	5.8620
38.027	5.9360
38.289	6.0100
38.550	6.0840
38.812	6.1580
39.073	6.2319
39.335	6.3059
39.596	6.3799
39.858	6.4539
40.119	6.5279
40.381	6.6019
40.642	6.6758
40.928	6.7498
41.352	6.8238
41.776	6.8978
42.201	6.9718
42.625	7.0458
43.050	7.1197
43.474	7.1937
43.899	7.2677
44.323	7.3417
44.748	7.4157
45.172	7.4897
45.597	7.5636
46.021	7.6376
46.445	7.7116
46.870	7.7856
47.395	7.8596
48.014	7.9336
48.633	8.0075
49.252	8.0815
49.865	8.1555
50.095	8.2295
50.325	8.3035
50.554	8.3775
50.784	8.4514
51.013	8.5254
51.243	8.5994
51.472	8.6734
51.826	8.7474
52.232	8.8214
52.639	8.8953
53.045	8.9693
53.451	9.0436
53.858	9.1190
54.264	9.1944
54.670	9.2684
55.077	9.3423
55.483	9.4162
55.889	9.4901
56.296	9.5640
56.702	9.6379
57.155	9.7118
57.797	9.7857
58.439	9.8596
59.081	9.9336
59.723	10.007
60.365	10.081
61.007	10.155
61.464	10.229
61.694	10.303
61.924	10.377
62.154	10.451
62.384	10.525
62.613	10.599
62.843	10.673
63.073	10.747
63.303	10.821
63.533	10.895
63.930	10.969
64.349	11.043
64.769	11.117
65.188	11.191
65.608	11.265
66.027	11.339
66.447	11.413
66.866	11.487
67.286	11.555
68.247	11.617
68.965	11.709
68.420	11.793
68.848	11.865
69.276	11.937
69.705	12.009
70.133	12.081
70.562	12.153
70.990	12.226
71.418	12.300
71.847	12.374
72.275	12.448
72.703	12.522
73.132	12.596
73.560	12.670
73.988	12.744
74.417	12.819
74.845	12.893
75.274	12.967
75.702	13.041
76.130	13.115
76.559	13.189
76.987	13.263
77.515	13.337
78.067	13.411
78.618	13.485
79.169	13.559
79.721	13.633
80.272	13.707
80.823	13.781
81.375	13.855
81.926	13.929
82.477	14.003
82.929	14.077
83.335	14.151
83.741	14.226
84.148	14.300
84.554	14.374
84.960	14.448
85.366	14.522
85.772	14.596
86.178	14.670
86.584	14.744
86.990	14.818
87.396	14.892
87.802	14.966
88.209	15.040
88.615	15.114
89.021	15.188
89.427	15.262
89.833	15.336
90.234	15.410
90.600	15.484
90.966	15.558
91.332	15.632
91.698	15.707
92.065	15.781
92.431	15.855
92.797	15.929
93.163	16.003
93.529	16.077
93.895	16.151
94.261	16.225
94.627	16.299
94.993	16.373
95.359	16.447
95.725	16.521
96.091	16.595
96.457	16.669
96.823	16.743
97.189	16.817
97.555	16.891
97.922	16.965
98.288	17.039
98.802	17.113
99.409	17.187
100.02	17.261
100.60	17.335
101.12	17.409
101.65	17.483
102.17	17.557
102.69	17.631
103.21	17.705
103.73	17.779
104.25	17.853
104.77	17.927
105.31	18.001
105.92	18.075
106.53	18.149
107.14	18.223
107.74	18.297
108.35	18.371
108.96	18.445
109.57	18.519
110.18	18.593
110.74	18.667
111.30	18.741
111.86	18.815
112.41	18.889
112.97	18.963
113.53	19.037
114.08	19.111
114.64	19.185
115.20	19.259
115.76	19.333
116.31	19.407
116.87	19.481
117.43	19.555
117.98	19.629
118.54	19.703
119.10	19.777
119.65	19.851
120.21	19.925
120.77	20.000
121.33	20.075
121.88	20.150
122.53	20.224
123.18	20.298
123.84	20.372
124.49	20.446
125.14	20.520
125.79	20.594
126.44	20.668
127.06	20.742
127.42	20.816
127.77	20.890
128.13	20.964
128.48	21.038
128.84	21.112
129.19	21.186
129.55	21.260
129.90	21.334
130.45	21.408
131.09	21.482
131.74	21.556
132.38	21.630
133.03	21.704
133.67	21.778
134.31	21.852
134.96	21.926
135.60	22.000
136.24	22.074
136.89	22.148
137.53	22.222
138.43	22.296
139.38	22.370
140.32	22.444
141.27	22.518
142.01	22.593
142.39	22.667
142.76	22.741
143.14	22.815
143.51	22.889
143.89	22.963
144.26	23.037
144.64	23.111
145.01	23.185
145.50	23.259
146.21	23.333
146.92	23.407
147.63	23.481
148.35	23.555
149.06	23.629
149.77	23.703
150.48	23.777
151.19	23.851
151.90	23.925
152.61	23.999
153.32	24.073
154.03	24.147
155.12	24.221
156.23	24.295
157.34	24.369
158.45	24.443
159.19	24.517
159.52	24.591
159.85	24.665
160.18	24.739
160.51	24.813
160.84	24.887
161.17	24.961
161.50	25.035
161.84	25.109
162.17	25.183
162.60	25.257
163.22	25.331
163.85	25.405
164.48	25.479
165.10	25.553
165.73	25.627
166.36	25.701
166.98	25.775
167.61	25.849
168.24	25.923
168.86	25.997
169.87	26.071
171.08	26.145
172.29	26.221
173.50	26.294
174.71	26.367
175.93	26.441
177.14	26.515
178.35	26.589
179.39	26.663
179.78	26.737
180.18	26.811
180.57	26.885
180.96	26.959
181.36	27.033
181.75	27.107
182.15	27.181
182.54	27.255
182.94	27.329
183.33	27.403
183.73	27.477
184.69	27.551
185.67	27.625
186.66	27.699
187.64	27.773
188.63	27.847
189.62	27.921
190.60	27.995
191.59	28.068
192.57	28.142
193.76	28.217
195.26	28.291
196.76	28.365
198.26	28.439
199.76	28.513
201.02	28.587
201.78	28.661
202.54	28.735
203.30	28.809
204.06	28.883
204.82	28.957
205.58	29.031
206.34	29.106
207.10	29.180
207.86	29.254
208.62	29.328
209.38	29.402
210.14	29.476
210.90	29.550
211.66	29.624
212.42	29.698
213.18	29.772
213.94	29.846
214.70	29.920
215.46	29.995
216.75	30.069
218.33	30.143
219.91	30.217
221.49	30.291
223.07	30.365
224.65	30.439
225.57	30.513
226.49	30.587
227.41	30.661
228.33	30.735
229.25	30.809
230.17	30.883
231.09	30.957
232.01	31.031
232.93	31.105
233.85	31.179
234.77	31.253
235.69	31.327
236.61	31.401
237.53	31.475
239.05	31.549
240.60	31.623
242.14	31.697
243.69	31.771
245.24	31.845
246.79	31.919
248.34	31.993
250.53	32.067
253.10	32.141
255.66	32.215
258.23	32.289
260.80	32.363
263.37	32.437
265.93	32.511
268.50	32.585
270.91	32.659
272.63	32.733
274.36	32.807
276.08	32.881
277.81	32.955
279.53	33.029
281.26	33.103
282.98	33.177
285.28	33.251
287.66	33.325
290.03	33.399
292.41	33.473
294.78	33.546
297.16	33.620
299.53	33.694
301.91	33.768
305.29	33.842
308.66	33.915
312.04	33.989
315.42	34.063
318.79	34.137
322.17	34.211
325.55	34.285
328.92	34.358
332.30	34.432
335.67	34.506
339.05	34.580
342.53	34.654
346.44	34.727
350.35	34.801
354.27	34.875
358.18	34.949
362.10	35.023
365.48	35.096
368.45	35.170
371.41	35.244
374.38	35.318
377.35	35.392
377.79	35.465
378.62	35.539
384.43	35.613
390.24	35.687
396.04	35.761
401.85	35.835
407.66	35.908
413.47	35.982
419.27	36.056
425.08	36.130
430.89	36.204
436.70	36.277
442.50	36.351
448.31	36.425
454.12	36.499
459.93	36.573
465.73	36.647
471.61	36.720
478.65	36.794
485.69	36.868
492.73	36.914
473.51	36.837
442.89	36.762
