Load (N)	Extension (mm)
14.056	1.8370
14.189	1.8639
14.323	1.8908
14.456	1.9177
14.590	1.9446
14.723	1.9715
14.856	1.9984
14.990	2.0253
15.123	2.0522
15.257	2.0791
15.390	2.1061
15.524	2.1330
15.657	2.1599
15.791	2.1868
15.924	2.2137
16.058	2.2406
16.191	2.2675
16.325	2.2944
16.458	2.3213
16.592	2.3481
16.725	2.3750
16.858	2.4018
16.992	2.4287
17.125	2.4555
17.259	2.4824
17.392	2.5092
17.526	2.5361
17.659	2.5629
17.842	2.5898
18.057	2.6166
18.273	2.6434
18.489	2.6703
18.705	2.6971
18.921	2.7240
19.137	2.7508
19.353	2.7777
19.568	2.8045
19.755	2.8314
19.871	2.8582
19.988	2.8851
20.104	2.9119
20.221	2.9388
20.337	2.9656
20.454	2.9925
20.570	3.0193
20.687	3.0462
20.803	3.0730
20.920	3.0999
21.036	3.1267
21.152	3.1536
21.269	3.1804
21.385	3.2073
21.502	3.2341
21.618	3.2610
21.735	3.2878
21.851	3.3147
21.968	3.3415
22.084	3.3684
22.200	3.3952
22.317	3.4221
22.433	3.4489
22.550	3.4758
22.666	3.5026
22.783	3.5295
22.899	3.5563
23.016	3.5832
23.132	3.6100
23.249	3.6369
23.365	3.6637
23.481	3.6906
23.598	3.7174
23.714	3.7443
23.831	3.7711
23.947	3.7980
24.064	3.8248
24.180	3.8517
24.297	3.8785
24.413	3.9054
24.530	3.9322
24.655	3.9591
24.792	3.9859
24.929	4.0134
25.066	4.0409
25.203	4.0684
25.340	4.0960
25.478	4.1235
25.615	4.1510
25.752	4.1781
25.889	4.2049
26.026	4.2318
26.163	4.2587
26.300	4.2856
26.437	4.3124
26.574	4.3393
26.711	4.3662
26.848	4.3931
26.985	4.4199
27.122	4.4468
27.259	4.4737
27.402	4.5006
27.560	4.5274
27.717	4.5543
27.875	4.5812
28.032	4.6081
28.190	4.6349
28.348	4.6618
28.505	4.6887
28.663	4.7156
28.820	4.7424
28.978	4.7693
29.135	4.7962
29.293	4.8231
29.450	4.8499
29.608	4.8768
29.765	4.9037
29.923	4.9306
30.080	4.9574
30.238	4.9843
30.395	5.0112
30.553	5.0381
30.711	5.0649
30.868	5.0918
31.026	5.1187
31.183	5.1456
31.341	5.1724
31.498	5.1993
31.625	5.2262
31.751	5.2530
31.877	5.2799
32.002	5.3068
32.128	5.3337
32.254	5.3605
32.380	5.3874
32.506	5.4143
32.631	5.4412
32.757	5.4680
32.883	5.4949
33.009	5.5218
33.135	5.5487
33.260	5.5755
33.386	5.6024
33.512	5.6293
33.638	5.6562
33.764	5.6830
33.889	5.7099
34.015	5.7368
34.141	5.7637
34.267	5.7905
34.393	5.8174
34.518	5.8443
34.644	5.8712
34.770	5.8980
34.896	5.9249
35.022	5.9518
35.147	5.9787
35.273	6.0055
35.399	6.0324
35.525	6.0593
35.651	6.0862
35.776	6.1130
35.902	6.1399
36.028	6.1668
36.154	6.1937
36.279	6.2205
36.405	6.2474
36.531	6.2743
36.657	6.3012
36.783	6.3280
36.908	6.3549
37.034	6.3818
37.160	6.4087
37.286	6.4355
37.412	6.4624
37.537	6.4893
37.663	6.5162
37.789	6.5430
37.915	6.5699
38.136	6.5968
38.378	6.6237
38.619	6.6505
38.860	6.6774
39.101	6.7043
39.342	6.7312
39.584	6.7580
39.825	6.7849
40.066	6.8118
40.248	6.8387
40.377	6.8655
40.507	6.8924
40.636	6.9193
40.765	6.9462
40.895	6.9730
41.024	6.9999
41.154	7.0268
41.283	7.0509
41.412	7.0743
41.542	7.0976
41.671	7.1235
41.800	7.1514
41.930	7.1849
42.059	7.2159
42.188	7.2452
42.318	7.2719
42.447	7.2985
42.577	7.3252
42.706	7.3519
42.835	7.3786
42.965	7.4052
43.094	7.4319
43.223	7.4586
43.353	7.4853
43.482	7.5119
43.611	7.5386
43.741	7.5653
43.870	7.5919
44.000	7.6186
44.129	7.6453
44.258	7.6720
44.388	7.6986
44.517	7.7253
44.646	7.7520
44.776	7.7787
44.905	7.8053
45.034	7.8320
45.164	7.8587
45.293	7.8854
45.423	7.9120
45.552	7.9387
45.681	7.9654
45.811	7.9920
45.940	8.0187
46.069	8.0455
46.199	8.0724
46.328	8.0993
46.457	8.1262
46.587	8.1530
46.716	8.1799
46.846	8.2068
46.975	8.2337
47.104	8.2606
47.234	8.2875
47.363	8.3143
47.492	8.3412
47.622	8.3681
47.751	8.3950
47.950	8.4219
48.187	8.4488
48.425	8.4756
48.662	8.5025
48.899	8.5294
49.137	8.5563
49.374	8.5832
49.611	8.6100
49.848	8.6369
50.086	8.6638
50.323	8.6907
50.560	8.7176
50.797	8.7445
51.035	8.7713
51.272	8.7982
51.509	8.8251
51.747	8.8520
51.984	8.8789
52.221	8.9057
52.458	8.9326
52.696	8.9595
52.933	8.9864
53.170	9.0133
53.343	9.0402
53.421	9.0670
53.498	9.0939
53.575	9.1208
53.652	9.1477
53.730	9.1746
53.807	9.2015
53.884	9.2283
53.961	9.2552
54.039	9.2821
54.116	9.3090
54.193	9.3359
54.270	9.3627
54.348	9.3896
54.425	9.4165
54.502	9.4434
54.579	9.4703
54.657	9.4972
54.734	9.5240
54.811	9.5509
54.888	9.5778
54.966	9.6047
55.043	9.6316
55.120	9.6584
55.198	9.6853
55.275	9.7122
55.354	9.7391
55.468	9.7660
55.582	9.7929
55.697	9.8197
55.811	9.8466
55.925	9.8735
56.039	9.9004
56.153	9.9273
56.267	9.9542
56.381	9.9810
56.496	9.9974
56.415	10.004
55.603	9.9857
54.792	9.9534
53.980	9.9155
53.169	9.8909
52.358	9.8664
51.546	9.8418
50.735	9.8173
50.228	9.7927
50.076	9.7681
49.923	9.7436
49.771	9.7190
49.618	9.6945
49.465	9.6699
49.313	9.6448
49.160	9.6179
49.008	9.5910
48.855	9.5642
48.703	9.5373
48.550	9.5104
48.398	9.4835
48.245	9.4567
48.092	9.4298
47.940	9.4029
47.787	9.3761
47.635	9.3492
47.482	9.3223
47.330	9.2954
47.177	9.2686
47.024	9.2417
46.872	9.2148
46.719	9.1880
46.567	9.1611
46.414	9.1342
46.262	9.1074
46.109	9.0805
45.957	9.0536
45.804	9.0267
45.651	8.9999
45.499	8.9730
45.346	8.9461
45.194	8.9193
45.041	8.8924
44.889	8.8655
44.736	8.8386
44.583	8.8118
44.431	8.7849
44.278	8.7580
44.126	8.7312
43.973	8.7043
43.821	8.6774
43.668	8.6505
43.516	8.6237
43.363	8.5968
43.210	8.5699
43.058	8.5431
42.905	8.5162
42.753	8.4893
42.600	8.4625
42.448	8.4356
42.295	8.4087
42.142	8.3818
41.990	8.3550
41.837	8.3281
41.685	8.3012
41.532	8.2744
41.380	8.2475
41.227	8.2206
41.074	8.1937
40.922	8.1669
40.769	8.1400
40.617	8.1131
40.464	8.0863
40.312	8.0594
40.159	8.0325
40.007	8.0056
39.854	7.9788
39.701	7.9519
39.549	7.9250
39.396	7.8982
39.244	7.8713
39.091	7.8444
38.939	7.8176
38.786	7.7907
38.633	7.7638
38.481	7.7369
38.328	7.7101
38.176	7.6832
38.023	7.6563
37.871	7.6295
37.718	7.6026
37.566	7.5757
37.413	7.5488
37.260	7.5220
37.108	7.4951
36.955	7.4682
